dataset,model,split,RMSE,MAE,R2,n_rows,seed,date
region,linear_regression,train,0.001259337853373928,0.0007596739198133345,0.9999238300824158,64,42,2026-07-16
region,linear_regression,test,0.0019035723138391071,0.0012824210618322615,0.9998174725581308,16,42,2026-07-16
region,xgboost,train,0.001091250334416747,0.0008447395790258871,0.9999428063583433,64,42,2026-07-16
region,xgboost,test,0.09947502949320493,0.03181671108068607,0.5015546359760472,16,42,2026-07-16
