SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO,CENSO_N_GRUPO,CENSO_MEAN_EDAD,CENSO_MEAN_ESCOLARIDAD,CENSO_PCT_URBANO,CENSO_PCT_LLEGADA_RECIENTE,CENSO_PCT_OCUPADO
H,00 A 04,ALEMANIA,2018,5,COQUIMBO,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384,582.0,26.29381443298969,10.171280276816608,0.9243986254295533,0.5017182130584192,0.5354058721934369
H,00 A 04,ALEMANIA,2018,6,VALPARAÍSO,1.0,1.0,,1.0,2,2018,DEU,1.73216879766948,1.11644310902427,3.384,1347.0,28.761692650334076,10.910647803425167,0.9250185597624351,0.47216035634743875,0.49888309754281457
H,00 A 04,ALEMANIA,2018,7,METROPOLITANA DE SANTIAGO,26.0,,,,26,2018,DEU,1.73216879766948,1.11644310902427,3.384,14665.0,27.918854415274463,11.005604155276107,0.9887487214456189,0.49580634162973064,0.5799822489246945
H,00 A 04,ALEMANIA,2018,9,MAULE,1.0,,,,1,2018,DEU,1.73216879766948,1.11644310902427,3.384,583.0,27.18353344768439,10.65008576329331,0.9159519725557461,0.4631217838765009,0.48027444253859347
H,00 A 04,ALEMANIA,2018,11,BIOBÍO,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384,728.0,28.373626373626372,11.692837465564738,0.9684065934065934,0.45467032967032966,0.5447042640990372
H,00 A 04,ALEMANIA,2018,12,LA ARAUCANÍA,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384,334.0,31.71556886227545,11.96996996996997,0.8083832335329342,0.45209580838323354,0.5389221556886228
H,00 A 04,ALEMANIA,2018,13,LOS RÍOS,2.0,,,,2,2018,DEU,1.73216879766948,1.11644310902427,3.384,130.0,28.73076923076923,12.584615384615384,0.8307692307692308,0.45384615384615384,0.49230769230769234
H,00 A 04,ALEMANIA,2018,14,LOS LAGOS,,1.0,,1.0,1,2018,DEU,1.73216879766948,1.11644310902427,3.384,475.0,30.751578947368422,9.141052631578948,0.7221052631578947,0.3936842105263158,0.5894736842105263
H,00 A 04,ALEMANIA,2018,17,REGIÓN IGNORADA,,3.0,,3.0,3,2018,DEU,1.73216879766948,1.11644310902427,3.384,1400.3125,28.26724417943114,10.756331200913198,0.9049514647281508,0.481210291864244,0.5260738964796042
H,00 A 04,ALEMANIA,2019,5,COQUIMBO,1.0,,,,1,2019,DEU,1.44565976888253,0.987893350164853,3.163,582.0,26.29381443298969,10.171280276816608,0.9243986254295533,0.5017182130584192,0.5354058721934369
H,00 A 04,ALEMANIA,2019,6,VALPARAÍSO,,1.0,,1.0,1,2019,DEU,1.44565976888253,0.987893350164853,3.163,1347.0,28.761692650334076,10.910647803425167,0.9250185597624351,0.47216035634743875,0.49888309754281457
H,00 A 04,ALEMANIA,2019,7,METROPOLITANA DE SANTIAGO,19.0,3.0,,3.0,22,2019,DEU,1.44565976888253,0.987893350164853,3.163,14665.0,27.918854415274463,11.005604155276107,0.9887487214456189,0.49580634162973064,0.5799822489246945
H,00 A 04,ALEMANIA,2019,9,MAULE,1.0,,,,1,2019,DEU,1.44565976888253,0.987893350164853,3.163,583.0,27.18353344768439,10.65008576329331,0.9159519725557461,0.4631217838765009,0.48027444253859347
H,00 A 04,ALEMANIA,2019,11,BIOBÍO,1.0,1.0,,1.0,2,2019,DEU,1.44565976888253,0.987893350164853,3.163,728.0,28.373626373626372,11.692837465564738,0.9684065934065934,0.45467032967032966,0.5447042640990372
H,00 A 04,ALEMANIA,2019,12,LA ARAUCANÍA,2.0,1.0,,1.0,3,2019,DEU,1.44565976888253,0.987893350164853,3.163,334.0,31.71556886227545,11.96996996996997,0.8083832335329342,0.45209580838323354,0.5389221556886228
H,00 A 04,ALEMANIA,2019,13,LOS RÍOS,2.0,,,,2,2019,DEU,1.44565976888253,0.987893350164853,3.163,130.0,28.73076923076923,12.584615384615384,0.8307692307692308,0.45384615384615384,0.49230769230769234
H,00 A 04,ALEMANIA,2019,17,REGIÓN IGNORADA,,1.0,,1.0,1,2019,DEU,1.44565976888253,0.987893350164853,3.163,1400.3125,28.26724417943114,10.756331200913198,0.9049514647281508,0.481210291864244,0.5260738964796042
H,00 A 04,ALEMANIA,2020,4,ATACAMA,,1.0,,1.0,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881,309.0,27.66990291262136,10.25242718446602,0.9352750809061489,0.47572815533980584,0.5242718446601942
H,00 A 04,ALEMANIA,2020,5,COQUIMBO,1.0,,,,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881,582.0,26.29381443298969,10.171280276816608,0.9243986254295533,0.5017182130584192,0.5354058721934369
H,00 A 04,ALEMANIA,2020,6,VALPARAÍSO,,2.0,,2.0,2,2020,DEU,0.144877925813963,-4.09513751682526,3.881,1347.0,28.761692650334076,10.910647803425167,0.9250185597624351,0.47216035634743875,0.49888309754281457
H,00 A 04,ALEMANIA,2020,7,METROPOLITANA DE SANTIAGO,10.0,2.0,2.0,4.0,14,2020,DEU,0.144877925813963,-4.09513751682526,3.881,14665.0,27.918854415274463,11.005604155276107,0.9887487214456189,0.49580634162973064,0.5799822489246945
H,00 A 04,ALEMANIA,2020,11,BIOBÍO,,1.0,,1.0,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881,728.0,28.373626373626372,11.692837465564738,0.9684065934065934,0.45467032967032966,0.5447042640990372
H,00 A 04,ALEMANIA,2020,12,LA ARAUCANÍA,2.0,1.0,,1.0,3,2020,DEU,0.144877925813963,-4.09513751682526,3.881,334.0,31.71556886227545,11.96996996996997,0.8083832335329342,0.45209580838323354,0.5389221556886228
H,00 A 04,ALEMANIA,2020,17,REGIÓN IGNORADA,,1.0,,1.0,1,2020,DEU,0.144877925813963,-4.09513751682526,3.881,1400.3125,28.26724417943114,10.756331200913198,0.9049514647281508,0.481210291864244,0.5260738964796042
H,00 A 04,ALEMANIA,2021,4,ATACAMA,,2.0,,2.0,2,2021,DEU,3.0666666666667,3.6699998840452,3.594,309.0,27.66990291262136,10.25242718446602,0.9352750809061489,0.47572815533980584,0.5242718446601942
H,00 A 04,ALEMANIA,2021,7,METROPOLITANA DE SANTIAGO,5.0,2.0,3.0,5.0,10,2021,DEU,3.0666666666667,3.6699998840452,3.594,14665.0,27.918854415274463,11.005604155276107,0.9887487214456189,0.49580634162973064,0.5799822489246945
H,00 A 04,ALEMANIA,2021,11,BIOBÍO,,1.0,,1.0,1,2021,DEU,3.0666666666667,3.6699998840452,3.594,728.0,28.373626373626372,11.692837465564738,0.9684065934065934,0.45467032967032966,0.5447042640990372
H,00 A 04,ALEMANIA,2021,12,LA ARAUCANÍA,,1.0,,1.0,1,2021,DEU,3.0666666666667,3.6699998840452,3.594,334.0,31.71556886227545,11.96996996996997,0.8083832335329342,0.45209580838323354,0.5389221556886228
H,00 A 04,ALEMANIA,2021,17,REGIÓN IGNORADA,,2.0,,2.0,2,2021,DEU,3.0666666666667,3.6699998840452,3.594,1400.3125,28.26724417943114,10.756331200913198,0.9049514647281508,0.481210291864244,0.5260738964796042
H,00 A 04,ALEMANIA,2022,3,ANTOFAGASTA,,1.0,,1.0,1,2022,DEU,6.87257438551096,1.36973104612758,3.12,862.0,26.20417633410673,9.91637630662021,0.9837587006960556,0.505800464037123,0.5522041763341067
H,00 A 04,ALEMANIA,2022,4,ATACAMA,,2.0,,2.0,2,2022,DEU,6.87257438551096,1.36973104612758,3.12,309.0,27.66990291262136,10.25242718446602,0.9352750809061489,0.47572815533980584,0.5242718446601942
H,00 A 04,ALEMANIA,2022,5,COQUIMBO,,,1.0,1.0,1,2022,DEU,6.87257438551096,1.36973104612758,3.12,582.0,26.29381443298969,10.171280276816608,0.9243986254295533,0.5017182130584192,0.5354058721934369
H,00 A 04,ALEMANIA,2022,6,VALPARAÍSO,,,1.0,1.0,1,2022,DEU,6.87257438551096,1.36973104612758,3.12,1347.0,28.761692650334076,10.910647803425167,0.9250185597624351,0.47216035634743875,0.49888309754281457
H,00 A 04,ALEMANIA,2022,7,METROPOLITANA DE SANTIAGO,,,2.0,2.0,2,2022,DEU,6.87257438551096,1.36973104612758,3.12,14665.0,27.918854415274463,11.005604155276107,0.9887487214456189,0.49580634162973064,0.5799822489246945
H,00 A 04,ALEMANIA,2022,12,LA ARAUCANÍA,,2.0,,2.0,2,2022,DEU,6.87257438551096,1.36973104612758,3.12,334.0,31.71556886227545,11.96996996996997,0.8083832335329342,0.45209580838323354,0.5389221556886228
H,00 A 04,ALEMANIA,2022,17,REGIÓN IGNORADA,,5.0,,5.0,5,2022,DEU,6.87257438551096,1.36973104612758,3.12,1400.3125,28.26724417943114,10.756331200913198,0.9049514647281508,0.481210291864244,0.5260738964796042
H,00 A 04,ALEMANIA,2023,3,ANTOFAGASTA,,1.0,,1.0,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068,862.0,26.20417633410673,9.91637630662021,0.9837587006960556,0.505800464037123,0.5522041763341067
H,00 A 04,ALEMANIA,2023,4,ATACAMA,,2.0,,2.0,2,2023,DEU,5.94643667725828,-0.266438401180253,3.068,309.0,27.66990291262136,10.25242718446602,0.9352750809061489,0.47572815533980584,0.5242718446601942
H,00 A 04,ALEMANIA,2023,7,METROPOLITANA DE SANTIAGO,,,1.0,1.0,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068,14665.0,27.918854415274463,11.005604155276107,0.9887487214456189,0.49580634162973064,0.5799822489246945
H,00 A 04,ALEMANIA,2023,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,,1.0,,1.0,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068,698.0,28.00429799426934,10.055873925501432,0.8610315186246418,0.47707736389684813,0.5279770444763271
H,00 A 04,ALEMANIA,2023,9,MAULE,,1.0,,1.0,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068,583.0,27.18353344768439,10.65008576329331,0.9159519725557461,0.4631217838765009,0.48027444253859347
H,00 A 04,ALEMANIA,2023,12,LA ARAUCANÍA,,2.0,,2.0,2,2023,DEU,5.94643667725828,-0.266438401180253,3.068,334.0,31.71556886227545,11.96996996996997,0.8083832335329342,0.45209580838323354,0.5389221556886228
H,00 A 04,ALEMANIA,2023,17,REGIÓN IGNORADA,,3.0,2.0,5.0,5,2023,DEU,5.94643667725828,-0.266438401180253,3.068,1400.3125,28.26724417943114,10.756331200913198,0.9049514647281508,0.481210291864244,0.5260738964796042
H,00 A 04,ARGENTINA,2018,1,ARICA Y PARINACOTA,2.0,,,,2,2018,ARG,34.2772237131003,-2.61739646282038,9.22,26.0,20.346153846153847,8.884615384615385,0.7692307692307693,0.5769230769230769,0.3076923076923077
H,00 A 04,ARGENTINA,2018,2,TARAPACÁ,7.0,5.0,,5.0,12,2018,ARG,34.2772237131003,-2.61739646282038,9.22,107.0,23.953271028037385,9.822429906542055,0.9626168224299065,0.5420560747663551,0.4766355140186916
H,00 A 04,ARGENTINA,2018,3,ANTOFAGASTA,11.0,3.0,,3.0,14,2018,ARG,34.2772237131003,-2.61739646282038,9.22,211.0,27.48341232227488,10.018957345971565,0.981042654028436,0.5260663507109005,0.5639810426540285
H,00 A 04,ARGENTINA,2018,4,ATACAMA,6.0,1.0,,1.0,7,2018,ARG,34.2772237131003,-2.61739646282038,9.22,53.0,25.92452830188679,8.50943396226415,0.9245283018867925,0.49056603773584906,0.5094339622641509
H,00 A 04,ARGENTINA,2018,5,COQUIMBO,7.0,7.0,,7.0,14,2018,ARG,34.2772237131003,-2.61739646282038,9.22,216.0,26.87037037037037,9.773148148148149,0.9074074074074074,0.4722222222222222,0.6203703703703703
H,00 A 04,ARGENTINA,2018,6,VALPARAÍSO,63.0,13.0,4.0,17.0,80,2018,ARG,34.2772237131003,-2.61739646282038,9.22,728.0,27.853021978021978,10.355371900826446,0.9381868131868132,0.5769230769230769,0.5851648351648352
H,00 A 04,ARGENTINA,2018,7,METROPOLITANA DE SANTIAGO,239.0,38.0,4.0,42.0,281,2018,ARG,34.2772237131003,-2.61739646282038,9.22,2637.0,30.12665908229048,12.006833712984054,0.9772468714448237,0.4694728858551384,0.640607210626186
H,00 A 04,ARGENTINA,2018,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,15.0,2.0,,2.0,17,2018,ARG,34.2772237131003,-2.61739646282038,9.22,195.0,27.897435897435898,10.405128205128205,0.7948717948717948,0.5282051282051282,0.6051282051282051
H,00 A 04,ARGENTINA,2018,9,MAULE,8.0,4.0,2.0,6.0,14,2018,ARG,34.2772237131003,-2.61739646282038,9.22,189.0,27.703703703703702,9.75,0.8306878306878307,0.5873015873015873,0.49206349206349204
H,00 A 04,ARGENTINA,2018,10,ÑUBLE,1.0,,,,1,2018,ARG,34.2772237131003,-2.61739646282038,9.22,39.0,35.666666666666664,12.256410256410257,0.6153846153846154,0.4358974358974359,0.6153846153846154
