modelo,features,umbral,f1_cv_mean,f1_cv_std,auc_cv_mean,auc_cv_std,f1_test,auc_test
regresion_logistica,base,0.65,0.343422900934734,0.008402455768777574,0.8253314694926992,0.007835077265102004,0.36070751737207835,0.7900060039387871
xgboost,base,0.786,0.5179529530240193,0.004775957573353884,0.9271743216491208,0.0027489833358573237,0.565569347004857,0.8776676931176097
regresion_logistica,base + censo,0.695,0.3456177114078349,0.009704262963098016,0.8257419750568058,0.007753441367476246,0.38458632414053645,0.7906633149779226
xgboost,base + censo,0.722,0.5352365354005497,0.003993952365542877,0.9310004591749399,0.004209207851863698,0.5833333333333334,0.8883568404193704
