modelo,features,n_features,accuracy,f1,auc
regresion_logistica,base,9,0.8814333814333815,0.15,0.690994196391691
random_forest,base,9,0.9157046657046657,0.43513295729250606,0.8511630446587577
gradient_boosting,base,9,0.9114959114959115,0.43902439024390244,0.851917906631656
regresion_logistica,base + censo,14,0.8946608946608947,0.19337016574585636,0.6872506606349416
random_forest,base + censo,14,0.9153439153439153,0.41625207296849087,0.8583715806194231
gradient_boosting,base + censo,14,0.9164261664261665,0.468247895944912,0.8572398852155659
