modelo,split,rmse,mae,r2
regresion_lineal_conteo,train,881.0804118768755,743.1171128924375,0.9999846208682192
regresion_lineal_conteo,test,19153.85128555714,7333.8244238763145,0.9943396536161707
random_forest_conteo,train,82000.45755730622,32885.15108257844,0.8667910891219229
random_forest_conteo,test,120063.02632478821,49156.44458481363,0.777592535857939
gradient_boosting_conteo,train,493.3246331938438,265.7916421913441,0.9999951786758706
gradient_boosting_conteo,test,30842.544815172594,11706.628984010613,0.9853232061162747
