dataset,model,split,RMSE,MAE,R2,n_rows,seed,date
region,linear_regression,train,0.0004906413392373127,0.0003762037851767051,0.9999883508059004,32,42,2026-07-20
region,linear_regression,test,0.0014536112036675237,0.0010827239284759895,0.9998935646405643,16,42,2026-07-20
region,xgboost,train,0.0005414099529731527,0.0004060164770006494,0.9999858153025182,32,42,2026-07-20
region,xgboost,test,0.12437367736536274,0.034622990119515855,0.22080463851920074,16,42,2026-07-20
