SEXO,EDAD,EDAD_NUMERICA,PAIS,PAIS_CODIGO,PAIS_ISO,ANIO,CODREGEO,REGION,CENSO_AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION
1,00 A 04,2,ARGENTINA,1,AR,2018,11,BIOBÍO,23.0,1.0,1.0,2.0,25
1,00 A 04,2,ARGENTINA,1,AR,2018,12,LA ARAUCANÍA,19.0,3.0,0.0,3.0,22
1,00 A 04,2,ARGENTINA,1,AR,2018,13,LOS RÍOS,7.0,1.0,0.0,1.0,8
1,00 A 04,2,ARGENTINA,1,AR,2018,14,LOS LAGOS,29.0,1.0,0.0,1.0,30
1,00 A 04,2,ARGENTINA,1,AR,2018,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,8.0,1.0,0.0,1.0,9
1,00 A 04,2,ARGENTINA,1,AR,2018,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,16.0,0.0,0.0,0.0,16
1,00 A 04,2,ARGENTINA,1,AR,2018,17,REGIÓN IGNORADA,0.0,35.0,0.0,35.0,35
1,00 A 04,2,ARGENTINA,1,AR,2019,1,ARICA Y PARINACOTA,2.0,0.0,0.0,0.0,2
1,00 A 04,2,ARGENTINA,1,AR,2019,2,TARAPACÁ,4.0,7.0,1.0,8.0,12
1,00 A 04,2,ARGENTINA,1,AR,2019,3,ANTOFAGASTA,9.0,5.0,0.0,5.0,14
1,00 A 04,2,ARGENTINA,1,AR,2019,4,ATACAMA,2.0,1.0,0.0,1.0,3
1,00 A 04,2,ARGENTINA,1,AR,2019,5,COQUIMBO,5.0,6.0,1.0,7.0,12
1,00 A 04,2,ARGENTINA,1,AR,2019,6,VALPARAÍSO,38.0,13.0,1.0,14.0,52
1,00 A 04,2,ARGENTINA,1,AR,2019,7,METROPOLITANA DE SANTIAGO,145.0,63.0,0.0,63.0,208
1,00 A 04,2,ARGENTINA,1,AR,2019,8,LIBERTADOR GENERAL BERNARDO O'HIGGINS,14.0,3.0,0.0,3.0,17
1,00 A 04,2,ARGENTINA,1,AR,2019,9,MAULE,6.0,3.0,1.0,4.0,10
1,00 A 04,2,ARGENTINA,1,AR,2019,11,BIOBÍO,13.0,1.0,0.0,1.0,14
1,00 A 04,2,ARGENTINA,1,AR,2019,12,LA ARAUCANÍA,9.0,4.0,0.0,4.0,13
1,00 A 04,2,ARGENTINA,1,AR,2019,13,LOS RÍOS,5.0,2.0,0.0,2.0,7
1,00 A 04,2,ARGENTINA,1,AR,2019,14,LOS LAGOS,20.0,5.0,0.0,5.0,25
1,00 A 04,2,ARGENTINA,1,AR,2019,15,AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,5.0,1.0,0.0,1.0,6
1,00 A 04,2,ARGENTINA,1,AR,2019,16,MAGALLANES Y DE LA ANTÁRTICA CHILENA,10.0,2.0,0.0,2.0,12
1,00 A 04,2,ARGENTINA,1,AR,2019,17,REGIÓN IGNORADA,0.0,31.0,0.0,31.0,31
