SEXO,EDAD,PAIS,AÑO ESTIMACION,CODREGEO,REGION,CENSO AJUSTADO,RRAA_REGULAR,RRAA_IRREGULAR,RRAA_TOTAL,ESTIMACION,AÑO,CODIGO_PAIS,INFLACION,CRECIMIENTO_PIB,DESEMPLEO,region_norm,pais_norm,sexo_norm,edad_norm,anio,pais_norm_merge,ACOGIDAS_TOTAL,RESUELTAS_ARCHIVA,RESUELTAS_OTORGA,RESUELTAS_RECHAZA_RT,RESUELTAS_RECHAZA_ABANDONO,RESUELTAS_TOTAL,TASA_OTORGA,TASA_RECHAZO,TASA_ARCHIVO,ACOGIDAS_LAG1,RESUELTAS_LAG1,TASA_REGULARIZACION,PROP_ESTIMACION_GRUPO,ACOGIDAS_PER_CAPITA,RESUELTAS_PER_CAPITA
H,30 A 34,ALEMANIA,2023,3,ANTOFAGASTA,5.0,1.0,,1.0,6,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,30 a 34,2023,alemania,,,,,,,,,,,,0.16666666663888888,0.075,,
H,35 A 39,ALEMANIA,2018,3,ANTOFAGASTA,5.0,1.0,,1.0,6,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,35 a 39,2018,alemania,,,,,,,,,,,,0.16666666663888888,0.08823529411764706,,
H,35 A 39,ALEMANIA,2019,3,ANTOFAGASTA,6.0,2.0,,2.0,8,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,35 a 39,2019,alemania,,,,,,,,,,,,0.24999999996875,0.11594202898550725,,
H,35 A 39,ALEMANIA,2020,3,ANTOFAGASTA,5.0,1.0,,1.0,6,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,35 a 39,2020,alemania,,,,,,,,,,,,0.16666666663888888,0.08,,
H,35 A 39,ALEMANIA,2021,3,ANTOFAGASTA,5.0,1.0,,1.0,6,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,35 a 39,2021,alemania,,,,,,,,,,,,0.16666666663888888,0.0759493670886076,,
H,35 A 39,ALEMANIA,2022,3,ANTOFAGASTA,6.0,1.0,,1.0,7,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,35 a 39,2022,alemania,,,,,,,,,,,,0.1428571428367347,0.08974358974358974,,
H,35 A 39,ALEMANIA,2023,3,ANTOFAGASTA,7.0,2.0,,2.0,9,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,35 a 39,2023,alemania,,,,,,,,,,,,0.22222222219753085,0.1125,,
H,40 A 44,ALEMANIA,2018,3,ANTOFAGASTA,4.0,,,,4,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,40 a 44,2018,alemania,,,,,,,,,,,,,0.058823529411764705,,
H,40 A 44,ALEMANIA,2019,3,ANTOFAGASTA,3.0,,,,3,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,40 a 44,2019,alemania,,,,,,,,,,,,,0.043478260869565216,,
H,40 A 44,ALEMANIA,2020,3,ANTOFAGASTA,3.0,,,,3,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,40 a 44,2020,alemania,,,,,,,,,,,,,0.04,,
H,40 A 44,ALEMANIA,2021,3,ANTOFAGASTA,5.0,,,,5,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,40 a 44,2021,alemania,,,,,,,,,,,,,0.06329113924050633,,
H,40 A 44,ALEMANIA,2022,3,ANTOFAGASTA,6.0,,,,6,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,40 a 44,2022,alemania,,,,,,,,,,,,,0.07692307692307693,,
H,40 A 44,ALEMANIA,2023,3,ANTOFAGASTA,5.0,1.0,,1.0,6,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,40 a 44,2023,alemania,,,,,,,,,,,,0.16666666663888888,0.075,,
H,45 A 49,ALEMANIA,2018,3,ANTOFAGASTA,1.0,,,,1,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,45 a 49,2018,alemania,,,,,,,,,,,,,0.014705882352941176,,
H,45 A 49,ALEMANIA,2019,3,ANTOFAGASTA,2.0,,,,2,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,45 a 49,2019,alemania,,,,,,,,,,,,,0.028985507246376812,,
H,45 A 49,ALEMANIA,2020,3,ANTOFAGASTA,2.0,,,,2,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,45 a 49,2020,alemania,,,,,,,,,,,,,0.02666666666666667,,
H,45 A 49,ALEMANIA,2021,3,ANTOFAGASTA,2.0,,,,2,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,45 a 49,2021,alemania,,,,,,,,,,,,,0.02531645569620253,,
H,45 A 49,ALEMANIA,2022,3,ANTOFAGASTA,2.0,,,,2,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,45 a 49,2022,alemania,,,,,,,,,,,,,0.02564102564102564,,
H,45 A 49,ALEMANIA,2023,3,ANTOFAGASTA,4.0,,,,4,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,45 a 49,2023,alemania,,,,,,,,,,,,,0.05,,
H,50 A 54,ALEMANIA,2018,3,ANTOFAGASTA,8.0,,,,8,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,50 a 54,2018,alemania,,,,,,,,,,,,,0.11764705882352941,,
H,50 A 54,ALEMANIA,2019,3,ANTOFAGASTA,7.0,,,,7,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,50 a 54,2019,alemania,,,,,,,,,,,,,0.10144927536231885,,
H,50 A 54,ALEMANIA,2020,3,ANTOFAGASTA,7.0,,,,7,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,50 a 54,2020,alemania,,,,,,,,,,,,,0.09333333333333334,,
H,50 A 54,ALEMANIA,2021,3,ANTOFAGASTA,4.0,,,,4,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,50 a 54,2021,alemania,,,,,,,,,,,,,0.05063291139240506,,
H,50 A 54,ALEMANIA,2022,3,ANTOFAGASTA,1.0,,,,1,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,50 a 54,2022,alemania,,,,,,,,,,,,,0.01282051282051282,,
H,50 A 54,ALEMANIA,2023,3,ANTOFAGASTA,1.0,,,,1,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,50 a 54,2023,alemania,,,,,,,,,,,,,0.0125,,
H,55 A 59,ALEMANIA,2018,3,ANTOFAGASTA,1.0,,1.0,1.0,2,2018,DEU,1.73216879766948,1.11644310902427,3.384,antofagasta,alemania,h,55 a 59,2018,alemania,,,,,,,,,,,,0.49999999975,0.029411764705882353,,
H,55 A 59,ALEMANIA,2019,3,ANTOFAGASTA,2.0,1.0,1.0,2.0,4,2019,DEU,1.44565976888253,0.987893350164853,3.163,antofagasta,alemania,h,55 a 59,2019,alemania,,,,,,,,,,,,0.499999999875,0.057971014492753624,,
H,55 A 59,ALEMANIA,2020,3,ANTOFAGASTA,3.0,2.0,,2.0,5,2020,DEU,0.144877925813963,-4.09513751682526,3.881,antofagasta,alemania,h,55 a 59,2020,alemania,,,,,,,,,,,,0.39999999992,0.06666666666666667,,
H,55 A 59,ALEMANIA,2021,3,ANTOFAGASTA,6.0,1.0,,1.0,7,2021,DEU,3.0666666666667,3.6699998840452,3.594,antofagasta,alemania,h,55 a 59,2021,alemania,,,,,,,,,,,,0.1428571428367347,0.08860759493670886,,
H,55 A 59,ALEMANIA,2022,3,ANTOFAGASTA,8.0,,1.0,1.0,9,2022,DEU,6.87257438551096,1.36973104612758,3.12,antofagasta,alemania,h,55 a 59,2022,alemania,,,,,,,,,,,,0.11111111109876542,0.11538461538461539,,
H,55 A 59,ALEMANIA,2023,3,ANTOFAGASTA,8.0,,,,8,2023,DEU,5.94643667725828,-0.266438401180253,3.068,antofagasta,alemania,h,55 a 59,2023,alemania,,,,,,,,,,,,,0.1,,
