"SEXO","EDAD","PAIS","AÑO ESTIMACION","CODREGEO","REGION","CENSO AJUSTADO","RRAA_REGULAR","RRAA_IRREGULAR","RRAA_TOTAL","ESTIMACION"
"H","00 A 04","ARGENTINA",2019,12,"LA ARAUCANÍA","9","4","","4",13

"H","00 A 04","ARGENTINA",2019,13,"LOS RÍOS","5","2","","2",7

"H","00 A 04","ARGENTINA",2019,14,"LOS LAGOS","20","5","","5",25

"H","00 A 04","ARGENTINA",2019,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","5","1","","1",6

"H","00 A 04","ARGENTINA",2019,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","10","2","","2",12

"H","00 A 04","ARGENTINA",2019,17,"REGIÓN IGNORADA","","31","","31",31

"H","00 A 04","ARGENTINA",2020,1,"ARICA Y PARINACOTA","1","","","",1

"H","00 A 04","ARGENTINA",2020,2,"TARAPACÁ","2","3","1","4",6

"H","00 A 04","ARGENTINA",2020,3,"ANTOFAGASTA","6","4","","4",10

"H","00 A 04","ARGENTINA",2020,4,"ATACAMA","1","2","","2",3

"H","00 A 04","ARGENTINA",2020,5,"COQUIMBO","4","5","1","6",10

"H","00 A 04","ARGENTINA",2020,6,"VALPARAÍSO","20","14","1","15",35

"H","00 A 04","ARGENTINA",2020,7,"METROPOLITANA DE SANTIAGO","76","71","4","75",151

"H","00 A 04","ARGENTINA",2020,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","8","2","1","3",11

"H","00 A 04","ARGENTINA",2020,9,"MAULE","3","5","1","6",9

"H","00 A 04","ARGENTINA",2020,10,"ÑUBLE","","1","","1",1

"H","00 A 04","ARGENTINA",2020,11,"BIOBÍO","8","1","","1",9

"H","00 A 04","ARGENTINA",2020,12,"LA ARAUCANÍA","6","2","","2",8

"H","00 A 04","ARGENTINA",2020,13,"LOS RÍOS","3","3","1","4",7

"H","00 A 04","ARGENTINA",2020,14,"LOS LAGOS","8","7","1","8",16

"H","00 A 04","ARGENTINA",2020,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","3","3","","3",6

"H","00 A 04","ARGENTINA",2020,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","7","1","","1",8

"H","00 A 04","ARGENTINA",2020,17,"REGIÓN IGNORADA","","34","","34",34

"H","00 A 04","ARGENTINA",2021,1,"ARICA Y PARINACOTA","1","","","",1

"H","00 A 04","ARGENTINA",2021,2,"TARAPACÁ","1","1","1","2",3

"H","00 A 04","ARGENTINA",2021,3,"ANTOFAGASTA","3","2","3","5",8

"H","00 A 04","ARGENTINA",2021,4,"ATACAMA","","1","","1",1

"H","00 A 04","ARGENTINA",2021,5,"COQUIMBO","1","1","1","2",3

"H","00 A 04","ARGENTINA",2021,6,"VALPARAÍSO","8","10","3","13",21

"H","00 A 04","ARGENTINA",2021,7,"METROPOLITANA DE SANTIAGO","26","53","5","58",84

"H","00 A 04","ARGENTINA",2021,8,"LIBERTADOR GENERAL BERNARDO O'HIGGINS","5","4","","4",9

"H","00 A 04","ARGENTINA",2021,9,"MAULE","1","1","2","3",4

"H","00 A 04","ARGENTINA",2021,11,"BIOBÍO","3","3","","3",6

"H","00 A 04","ARGENTINA",2021,12,"LA ARAUCANÍA","1","3","","3",4

"H","00 A 04","ARGENTINA",2021,13,"LOS RÍOS","","5","","5",5

"H","00 A 04","ARGENTINA",2021,14,"LOS LAGOS","4","5","","5",9

"H","00 A 04","ARGENTINA",2021,15,"AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO","","2","","2",2

"H","00 A 04","ARGENTINA",2021,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","3","1","","1",4

"H","00 A 04","ARGENTINA",2021,17,"REGIÓN IGNORADA","","43","1","44",44

"H","00 A 04","ARGENTINA",2022,2,"TARAPACÁ","","2","","2",2

