"SEXO","EDAD","PAIS","AÑO ESTIMACION","CODREGEO","REGION","CENSO AJUSTADO","RRAA_REGULAR","RRAA_IRREGULAR","RRAA_TOTAL","ESTIMACION"

"H","00 A 04","BRASIL",2023,9,"MAULE","","5","","5",5

"H","00 A 04","BRASIL",2023,10,"ÑUBLE","","2","","2",2

"H","00 A 04","BRASIL",2023,11,"BIOBÍO","","1","","1",1

"H","00 A 04","BRASIL",2023,14,"LOS LAGOS","","1","","1",1

"H","00 A 04","BRASIL",2023,16,"MAGALLANES Y DE LA ANTÁRTICA CHILENA","","1","","1",1

"H","00 A 04","BRASIL",2023,17,"REGIÓN IGNORADA","","8","7","15",15

"H","00 A 04","CHINA",2018,2,"TARAPACÁ","2","5","","5",7

"H","00 A 04","CHINA",2018,3,"ANTOFAGASTA","1","1","","1",2

