CODREGEO,censo_n_migrantes,censo_mean_edad,censo_mean_escolaridad,censo_pct_mujer,censo_pct_urbano,censo_pct_llegada_reciente,censo_pct_ocupado,censo_pct_venezuela
1,11251,25.757710425739933,8.972232111071555,0.5029775131099458,0.7895298195715936,0.36219002755310636,0.4658898870408254,0.37116700737712205
2,29932,25.43886141921689,9.020705803646095,0.5151343044233596,0.9512561806761994,0.4218562074034478,0.464408706409442,0.23109047173593478
3,42274,26.439537304253204,9.391180789087292,0.5156833987793916,0.9692009272839097,0.4127123054359654,0.4783658398030676,0.20334011449117662
4,10327,26.176430715599885,9.277761613810494,0.5096349375423647,0.9475162196184759,0.35053742616442335,0.4540257726964441,0.3704851360511281
5,18791,27.50944601138843,9.885062373387354,0.5040710978659997,0.9225160981320845,0.34697461550742376,0.5377283135417221,0.5635144484061518
6,36134,27.930425637903358,9.980182377560354,0.5094924447888415,0.9415232191287983,0.33168207228648916,0.5302262468499903,0.6156251729672885
7,305004,28.731019921050216,10.411036742089767,0.5201243262383444,0.9868591887319511,0.3293694508924473,0.5588299949144478,0.5772580031737289
8,20847,27.75387345901089,9.758066064912617,0.500407732527462,0.8662157624598263,0.32474696599031033,0.5388675623800384,0.5584016884923491
9,17081,28.261928458521165,9.975967174677608,0.504010303846379,0.9065043030267549,0.3096422926058193,0.5206771321462043,0.6711550845969205
10,3976,29.08651911468813,10.298612862547289,0.5093058350100603,0.8988933601609658,0.2917505030181087,0.5003790750568613,0.670271629778672
11,19126,28.182055840217505,10.221263014702036,0.508992993830388,0.9699884973334728,0.30848060232144725,0.5329463445246313,0.736798075917599
12,5603,28.699089773335714,10.398068669527897,0.5197215777262181,0.889880421202927,0.308584686774942,0.48687265583139844,0.5950383723005532
13,1912,28.915794979079497,10.53898482469911,0.5193514644351465,0.8645397489539749,0.35460251046025104,0.5094240837696336,0.5523012552301255
14,13470,28.142538975501115,10.199539410147834,0.5069784706755753,0.9066815144766147,0.30764662212323685,0.5549777117384844,0.7198218262806236
15,951,28.30073606729758,9.834736842105263,0.5289169295478444,0.9263932702418507,0.3480546792849632,0.5068349106203995,0.434279705573081
16,3612,27.756644518272424,10.014991671293727,0.5243632336655593,0.9806201550387597,0.358250276854928,0.5249307479224377,0.37264673311184937
