CODREGEO,REGION,ANIO,estimation,rate,rate_lag1,pct_women_lag1,mean_age_lag1,pct_irregular_lag1,pct_venezuela_lag1,pct_peru_lag1,pct_colombia_lag1,pct_haiti_lag1,pct_bolivia_lag1
1,ARICA Y PARINACOTA,2019,27471,0.019748135964596986,0.020690330136254608,0.5262968010903551,34.82887035997755,0.007576364948288302,0.05443758518399743,0.3778962559127716,0.05487853764130522,0.0007616451535316283,0.4127315000400866
1,ARICA Y PARINACOTA,2020,30707,0.020732115706095067,0.019748135964596986,0.5257180299224636,34.85464142701129,0.016453714826544355,0.10658512613301299,0.35528375377671,0.0540934075934622,0.000764442503003167,0.3890284299807069
1,ARICA Y PARINACOTA,2021,33356,0.021829800072382055,0.020732115706095067,0.5204676458136581,35.04220536034129,0.0392418666753509,0.1012472726088514,0.3684501905103071,0.0508027485589605,0.0008792783404435471,0.386556811150552
1,ARICA Y PARINACOTA,2022,33887,0.021211430774758355,0.021829800072382055,0.5182875644561699,35.357808892753276,0.040802254466962465,0.10001199184554503,0.38056121837150736,0.049076627893032736,0.0009293680297397769,0.38173042331214774
1,ARICA Y PARINACOTA,2023,36925,0.020435778801027184,0.021211430774758355,0.5129400655118482,35.07068232794239,0.08094549532269012,0.12104936996488329,0.35665594475757667,0.05034378965384956,0.001032844453625284,0.38229999704901585
2,TARAPACÁ,2019,66633,0.047900605865421386,0.050363113386260414,0.5189058331412009,31.184364810118243,0.008069562926122329,0.048137413128684824,0.25412535818978294,0.08015216890089259,0.0053028556371661015,0.45686900958466453
2,TARAPACÁ,2020,69872,0.047174728518457505,0.047900605865421386,0.5153902720874042,31.721034938167847,0.013476805786922395,0.0691549232362343,0.24052646586526197,0.07845962210916513,0.005222637431903111,0.4588267074872811
2,TARAPACÁ,2021,74227,0.048577784205921064,0.047174728518457505,0.5124227158232196,32.26025103404846,0.03280283947790245,0.07196015571330433,0.2374627891000687,0.07745591939546599,0.005123654682848638,0.45868158919166474
2,TARAPACÁ,2022,78631,0.04921875684628395,0.048577784205921064,0.5113772616433373,32.73944734112068,0.03785684454443801,0.07386799951500128,0.23282633004162906,0.07596966063561776,0.005159847494846889,0.4673770999770973
2,TARAPACÁ,2023,86526,0.047886965376782074,0.04921875684628395,0.5090867469573069,32.4332099660422,0.07240147015808014,0.0880568732433773,0.2195953249990462,0.07531380753138076,0.005023464028182269,0.4731212880416121
3,ANTOFAGASTA,2019,98049,0.07048469233711077,0.07272967046091679,0.5323130609312456,30.677941360946072,0.008176624206000753,0.054636271368130554,0.1531092839466752,0.30294563742316594,0.0008781032968787419,0.38421010617067136
3,ANTOFAGASTA,2020,103467,0.06985670419651996,0.07048469233711077,0.5306938367550919,30.982324983681462,0.013860416730410306,0.08624259298921967,0.141388489428755,0.2942712317310732,0.0010402961784413915,0.37921855398831195
3,ANTOFAGASTA,2021,107755,0.07052014950232427,0.06985670419651996,0.5288449457314892,31.575900796412277,0.023717707095015802,0.08984507137541438,0.1398513535716702,0.28957058772362204,0.001082470739462824,0.382634076565475
3,ANTOFAGASTA,2022,114696,0.07179349792373725,0.07052014950232427,0.5268897034940374,32.20445665389006,0.02493619785624797,0.08933228156466057,0.14041111781355853,0.28671523363185003,0.0011785996009465918,0.3864971463041158
3,ANTOFAGASTA,2023,128744,0.0712521030726999,0.07179349792373725,0.5232353351468229,32.22643648094864,0.05146648531770942,0.09502510985561834,0.13288170468019808,0.29069889098137686,0.0011944618818441795,0.3855060333403083
4,ATACAMA,2019,18401,0.013227965850698888,0.012778638515564609,0.4938015187901603,30.38742130200558,0.010644512234698514,0.10956058934250665,0.12065944051405206,0.21418835594210422,0.020639968845330044,0.3477640033750892
4,ATACAMA,2020,19350,0.013064331875889523,0.013227965850698888,0.4941579261996631,30.94201402097712,0.02233574262268355,0.16341503179175046,0.10510298353350361,0.20716265420357588,0.019401119504374762,0.32547144176946907
4,ATACAMA,2021,20163,0.013195654720573192,0.013064331875889523,0.49483204134366926,31.63767441860465,0.038656330749354005,0.16945736434108527,0.10475452196382429,0.20155038759689922,0.018656330749354005,0.325374677002584
4,ATACAMA,2022,22086,0.01382464249096447,0.013195654720573192,0.4928830035213014,32.09616624510242,0.04979417745375192,0.1729405346426623,0.10459753012944502,0.2034419481227992,0.017953677528145612,0.32614194316321976
4,ATACAMA,2023,27266,0.015090100061985301,0.01382464249096447,0.4907633795164357,31.593208059769076,0.08245042108122792,0.1793443810558725,0.09920311509553563,0.20125871592864258,0.015575477678167166,0.3392646925654261
