CODREGEO,REGION,ANIO,estimation,rate,rate_lag1,pct_women_lag1,mean_age_lag1,pct_irregular_lag1,pct_venezuela_lag1,pct_peru_lag1,pct_colombia_lag1,pct_haiti_lag1,pct_bolivia_lag1,sol_total_lag1,sol_otorgadas_lag1,sol_pct_otorga_lag1,sol_share_lag1,macro_inflacion_origen_lag1,macro_crecimiento_pib_origen_lag1,macro_desempleo_origen_lag1,censo_n_migrantes,censo_mean_edad,censo_mean_escolaridad,censo_pct_mujer,censo_pct_urbano,censo_pct_llegada_reciente,censo_pct_ocupado,censo_pct_venezuela
1,ARICA Y PARINACOTA,2021,33356,0.021829800072382,0.020732115706095,0.5204676458136581,35.04220536034129,0.0392418666753509,0.1012472726088514,0.3684501905103071,0.0508027485589605,0.0008792783404435,0.386556811150552,1130.0,912.0,0.8070796460176991,0.012349858491204789,1.8628783039869596,-8.572248512189331,7.9529872122762155,11251,25.757710425739933,8.972232111071555,0.5029775131099458,0.7895298195715936,0.3621900275531063,0.4658898870408254,0.371167007377122
1,ARICA Y PARINACOTA,2022,33887,0.0212114307747583,0.021829800072382,0.5182875644561699,35.35780889275328,0.0408022544669624,0.100011991845545,0.3805612183715073,0.0490766278930327,0.0009293680297397,0.3817304233121477,253.0,191.0,0.7549407114624506,0.009022201228153047,2.8249310748047063,8.534443963332446,5.7999013202127,11251,25.757710425739933,8.972232111071555,0.5029775131099458,0.7895298195715936,0.3621900275531063,0.4658898870408254,0.371167007377122
1,ARICA Y PARINACOTA,2023,36925,0.0204357788010271,0.0212114307747583,0.5129400655118482,35.07068232794239,0.0809454953226901,0.1210493699648832,0.3566559447575766,0.0503437896538495,0.0010328444536252,0.3822999970490158,1026.0,1012.0,0.98635477582846,0.010829204609902516,5.383666010314072,3.075630138855637,4.389262216063145,11251,25.757710425739933,8.972232111071555,0.5029775131099458,0.7895298195715936,0.3621900275531063,0.4658898870408254,0.371167007377122
2,TARAPACÁ,2021,74227,0.048577784205921,0.0471747285184575,0.5124227158232196,32.26025103404846,0.0328028394779024,0.0719601557133043,0.2374627891000687,0.0774559193954659,0.0051236546828486,0.4586815891916647,2269.0,1414.0,0.623182018510357,0.01914769726596883,2.0742020198400706,-8.269540866405501,8.213246800866958,29932,25.43886141921689,9.020705803646097,0.5151343044233596,0.9512561806761994,0.4218562074034478,0.464408706409442,0.2310904717359347
2,TARAPACÁ,2022,78631,0.0492187568462839,0.048577784205921,0.5113772616433373,32.73944734112068,0.037856844544438,0.0738679995150012,0.232826330041629,0.0759696606356177,0.0051598474948468,0.4673770999770973,936.0,619.0,0.6613247863247863,0.029239489844119036,2.698431028104761,7.747839587341185,6.026658494359433,29932,25.43886141921689,9.020705803646097,0.5151343044233596,0.9512561806761994,0.4218562074034478,0.464408706409442,0.2310904717359347
2,TARAPACÁ,2023,86526,0.047886965376782,0.0492187568462839,0.5090867469573069,32.4332099660422,0.0724014701580801,0.0880568732433773,0.2195953249990462,0.0753138075313807,0.0050234640281822,0.4731212880416121,2612.0,2522.0,0.9655436447166922,0.026987405164203702,5.211570884231131,3.3569337447815184,4.540479196897343,29932,25.43886141921689,9.020705803646097,0.5151343044233596,0.9512561806761994,0.4218562074034478,0.464408706409442,0.2310904717359347
3,ANTOFAGASTA,2021,107755,0.0705201495023242,0.0698567041965199,0.5288449457314892,31.57590079641228,0.0237177070950158,0.0898450713754143,0.1398513535716702,0.289570587723622,0.0010824707394628,0.382634076565475,4929.0,3113.0,0.631568269425847,0.04215472531043915,2.4801098233628798,-7.692243520835501,10.22188569884018,42274,26.439537304253204,9.391180789087292,0.5156833987793916,0.9692009272839096,0.4127123054359654,0.4783658398030676,0.2033401144911766
3,ANTOFAGASTA,2022,114696,0.0717934979237372,0.0705201495023242,0.5268897034940374,32.20445665389006,0.0249361978562479,0.0893322815646605,0.1404111178135585,0.28671523363185,0.0011785996009465,0.3864971463041158,1618.0,1114.0,0.688504326328801,0.05262163438828531,3.220614913460993,8.08736285127078,8.023336919795383,42274,26.439537304253204,9.391180789087292,0.5156833987793916,0.9692009272839096,0.4127123054359654,0.4783658398030676,0.2033401144911766
3,ANTOFAGASTA,2023,128744,0.0712521030726999,0.0717934979237372,0.5232353351468229,32.22643648094864,0.0514664853177094,0.0950251098556183,0.132881704680198,0.2906988909813768,0.0011944618818441,0.3855060333403083,4499.0,4374.0,0.9722160480106691,0.046805277632128064,6.805482872149887,4.300572278377537,6.0696121711169155,42274,26.439537304253204,9.391180789087292,0.5156833987793916,0.9692009272839096,0.4127123054359654,0.4783658398030676,0.2033401144911766
4,ATACAMA,2021,20163,0.0131956547205731,0.0130643318758895,0.4948320413436692,31.63767441860465,0.038656330749354,0.1694573643410852,0.1047545219638242,0.2015503875968992,0.018656330749354,0.325374677002584,1246.0,720.0,0.5778491171749599,0.009749888282530096,2.9395446134768415,-6.891907752385296,9.557775927611502,10327,26.176430715599885,9.277761613810494,0.5096349375423647,0.947516219618476,0.3505374261644233,0.4540257726964441,0.3704851360511281
