modelo,split,rmse,mae,r2
persistencia,train,0.0013127748958490799,0.0006908721033638978,0.9999166034406406
persistencia,test,0.002457877457681864,0.0015155561184019002,0.9996956944586606
regresion_lineal_v2,train,0.0004825991573314298,0.00037998256290147094,0.9999887295637753
regresion_lineal_v2,test,0.0015329215786762706,0.0011527771648143698,0.9998816333699114
random_forest_v2,train,0.05270794944978656,0.02120258430711384,0.8655626791992519
random_forest_v2,test,0.051986456166283786,0.020700879018092744,0.8638649878537128
gradient_boosting_v2,train,3.60466654006018e-05,2.6727806648954206e-05,0.9999999371221334
gradient_boosting_v2,test,0.0027092712146027684,0.0015976303133258237,0.9996302617567993
xgboost_v2,train,0.0025584060334221796,0.0008667794316906936,0.9996832573480845
xgboost_v2,test,0.13302029697974035,0.03440905994879763,0.1086972754717761
