modelo,split,rmse,mae,r2,version
linear_regression,train,0.0004906413392373,0.0003762037851767,0.9999883508059004,modelo_1 (5 features SERMIG)
linear_regression,test,0.0014536112036675,0.0010827239284759,0.9998935646405644,modelo_1 (5 features SERMIG)
xgboost,train,0.0005414099529731,0.0004060164770006,0.9999858153025182,modelo_1 (5 features SERMIG)
xgboost,test,0.1243736773653627,0.0346229901195158,0.2208046385192007,modelo_1 (5 features SERMIG)
random_forest_v2,train,0.05270794944978656,0.02120258430711384,0.8655626791992519,"modelo_2 (3 fuentes, 8 features)"
random_forest_v2,test,0.051986456166283786,0.020700879018092744,0.8638649878537128,"modelo_2 (3 fuentes, 8 features)"
